Time[s], Channel 0, Channel 1, Channel 2, Channel 3
0.000000000000000, 1, 1, 1, 0
8.207042860000000, 1, 0, 1, 0
8.207047360000001, 0, 0, 1, 0
8.207047559999999, 0, 0, 1, 1
8.207047680000001, 0, 0, 1, 0
8.207047780000000, 0, 0, 1, 1
8.207047879999999, 1, 0, 1, 0
8.207047980000000, 1, 0, 1, 1
8.207048100000000, 0, 0, 1, 0
8.207048200000001, 0, 0, 1, 1
8.207048300000000, 0, 0, 1, 0
8.207048400000000, 0, 0, 1, 1
8.207048520000001, 1, 0, 1, 0
8.207048620000000, 1, 0, 1, 1
8.207048720000000, 0, 0, 1, 0
8.207048820000001, 0, 0, 1, 1
8.207048940000000, 0, 0, 1, 0
8.207049039999999, 0, 0, 1, 1
8.207049140000001, 0, 0, 1, 0
8.207050140000000, 1, 0, 1, 0
8.207050920000000, 0, 0, 1, 0
8.207051140000001, 0, 0, 1, 1
8.207051240000000, 0, 0, 1, 0
8.207051340000000, 0, 0, 1, 1
8.207051460000001, 0, 0, 1, 0
8.207051560000000, 0, 0, 1, 1
8.207051659999999, 0, 0, 1, 0
8.207051760000001, 0, 0, 1, 1
8.207051880000000, 0, 0, 1, 0
8.207051980000001, 0, 0, 1, 1
8.207052080000000, 0, 0, 1, 0
8.207052180000000, 0, 0, 1, 1
8.207052280000001, 0, 0, 1, 0
8.207052400000000, 0, 0, 1, 1
8.207052500000000, 0, 0, 1, 0
8.207052600000001, 0, 0, 1, 1
8.207052700000000, 0, 0, 1, 0
8.207053699999999, 1, 0, 1, 0
8.207054500000000, 0, 0, 1, 0
8.207054700000000, 0, 0, 1, 1
8.207054800000000, 0, 0, 1, 0
8.207054900000001, 0, 0, 1, 1
8.207055020000000, 1, 0, 1, 0
8.207055120000000, 1, 0, 1, 1
8.207055220000001, 0, 0, 1, 0
8.207055320000000, 0, 0, 1, 1
8.207055440000000, 1, 0, 1, 0
8.207055540000001, 1, 0, 1, 1
8.207055640000000, 1, 0, 1, 0
8.207055739999999, 1, 0, 1, 1
8.207055860000001, 1, 0, 1, 0
8.207055960000000, 1, 0, 1, 1
8.207056059999999, 0, 0, 1, 0
8.207056160000000, 0, 0, 1, 1
8.207056280000000, 0, 0, 1, 0
8.207057300000001, 1, 0, 1, 0
8.207058060000000, 0, 0, 1, 0
8.207058260000000, 0, 0, 1, 1
8.207058379999999, 0, 0, 1, 0
8.207058480000001, 0, 0, 1, 1
8.207058580000000, 0, 0, 1, 0
8.207058679999999, 0, 0, 1, 1
8.207058800000000, 0, 0, 1, 0
8.207058900000000, 0, 0, 1, 1
8.207059000000001, 0, 0, 1, 0
8.207059100000000, 0, 0, 1, 1
8.207059200000000, 1, 0, 1, 1
8.207059220000000, 1, 0, 1, 0
8.207059320000001, 1, 0, 1, 1
8.207059420000000, 0, 0, 1, 0
8.207059520000000, 0, 0, 1, 1
8.207059620000001, 1, 0, 1, 0
8.207059740000000, 1, 0, 1, 1
8.207059839999999, 0, 0, 1, 0
8.207060900000000, 1, 0, 1, 0
8.207061720000000, 0, 0, 1, 0
8.207061940000001, 0, 0, 1, 1
8.207062040000000, 1, 0, 1, 0
8.207062140000000, 1, 0, 1, 1
8.207062260000001, 1, 0, 1, 0
8.207062360000000, 1, 0, 1, 1
8.207062460000000, 1, 0, 1, 0
8.207062560000001, 1, 0, 1, 1
8.207062660000000, 1, 0, 1, 0
8.207062779999999, 1, 0, 1, 1
8.207062880000001, 1, 0, 1, 0
8.207062980000000, 1, 0, 1, 1
8.207063079999999, 0, 0, 1, 0
8.207063200000000, 0, 0, 1, 1
8.207063300000000, 0, 0, 1, 0
8.207063400000001, 0, 0, 1, 1
8.207063500000000, 0, 0, 1, 0
8.207064580000001, 1, 0, 1, 0
8.207065280000000, 0, 0, 1, 0
8.207065500000001, 0, 0, 1, 1
8.207065600000000, 1, 0, 1, 0
8.207065699999999, 1, 0, 1, 1
8.207065820000000, 1, 0, 1, 0
8.207065920000000, 1, 0, 1, 1
8.207066020000001, 1, 0, 1, 0
8.207066120000000, 1, 0, 1, 1
8.207066240000000, 0, 0, 1, 0
8.207066340000001, 0, 0, 1, 1
8.207066440000000, 1, 0, 1, 0
8.207066540000000, 1, 0, 1, 1
8.207066660000001, 1, 0, 1, 0
8.207066760000000, 1, 0, 1, 1
8.207066859999999, 1, 0, 1, 0
8.207066960000001, 1, 0, 1, 1
8.207067080000000, 0, 0, 1, 0
8.207068160000000, 1, 0, 1, 0
8.207068860000000, 0, 0, 1, 0
8.207069060000000, 0, 0, 1, 1
8.207069160000000, 1, 0, 1, 0
8.207069260000001, 1, 0, 1, 1
8.207069380000000, 1, 0, 1, 0
8.207069479999999, 1, 0, 1, 1
8.207069580000001, 1, 0, 1, 0
8.207069680000000, 1, 0, 1, 1
8.207069799999999, 1, 0, 1, 0
8.207069900000000, 1, 0, 1, 1
8.207070000000000, 0, 0, 1, 0
8.207070100000001, 0, 0, 1, 1
8.207070220000000, 1, 0, 1, 0
8.207070320000000, 1, 0, 1, 1
8.207070420000001, 0, 0, 1, 0
8.207070520000000, 0, 0, 1, 1
8.207070640000000, 0, 0, 1, 0
8.207071760000000, 1, 0, 1, 0
8.207072419999999, 0, 0, 1, 0
8.207072620000000, 0, 0, 1, 1
8.207072740000001, 0, 0, 1, 0
8.207072840000000, 0, 0, 1, 1
8.207072940000000, 0, 0, 1, 0
8.207073040000001, 0, 0, 1, 1
8.207073160000000, 0, 0, 1, 0
8.207073260000000, 0, 0, 1, 1
8.207073360000001, 1, 0, 1, 0
